layer,workspace,store,title,geometry,crs,features,fields,types
district_Kasur,infra_portal,district_Kasur,district_Kasur,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Keamari,infra_portal,district_Keamari,district_Keamari,MultiPolygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kech,infra_portal,district_Kech,district_Kech,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Khairpur,infra_portal,district_Khairpur,district_Khairpur,Polygon,EPSG:4326,8,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Khanewal,infra_portal,district_Khanewal,district_Khanewal,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kharan,infra_portal,district_Kharan,district_Kharan,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kharmang,infra_portal,district_Kharmang,district_Kharmang,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Khushab,infra_portal,district_Khushab,district_Khushab,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Khuzdar,infra_portal,district_Khuzdar,district_Khuzdar,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Khyber,infra_portal,district_Khyber,district_Khyber,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Killa Abdullah,infra_portal,district_Killa Abdullah,district_Killa Abdullah,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Killa Saifullah,infra_portal,district_Killa Saifullah,district_Killa Saifullah,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kohat,infra_portal,district_Kohat,district_Kohat,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kohlu,infra_portal,district_Kohlu,district_Kohlu,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kolai Palas,infra_portal,district_Kolai Palas,district_Kolai Palas,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Korangi,infra_portal,district_Korangi,district_Korangi,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kotli,infra_portal,district_Kotli,district_Kotli,Polygon,EPSG:4326,6,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Kurram,infra_portal,district_Kurram,district_Kurram,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Lahore,infra_portal,district_Lahore,district_Lahore,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Lakki Marwat,infra_portal,district_Lakki Marwat,district_Lakki Marwat,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Larkana,infra_portal,district_Larkana,district_Larkana,Polygon,EPSG:4326,4,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Lasbela,infra_portal,district_Lasbela,district_Lasbela,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Layyah,infra_portal,district_Layyah,district_Layyah,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Lehri,infra_portal,district_Lehri,district_Lehri,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Lodhran,infra_portal,district_Lodhran,district_Lodhran,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Loralai,infra_portal,district_Loralai,district_Loralai,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Lower Dir,infra_portal,district_Lower Dir,district_Lower Dir,Polygon,EPSG:4326,6,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Lower Kohistan,infra_portal,district_Lower Kohistan,district_Lower Kohistan,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Malakand,infra_portal,district_Malakand,district_Malakand,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Malir,infra_portal,district_Malir,district_Malir,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mandi Bahauddin,infra_portal,district_Mandi Bahauddin,district_Mandi Bahauddin,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mansehra,infra_portal,district_Mansehra,district_Mansehra,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mardan,infra_portal,district_Mardan,district_Mardan,Polygon,EPSG:4326,5,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mastung,infra_portal,district_Mastung,district_Mastung,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Matiari,infra_portal,district_Matiari,district_Matiari,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mianwali,infra_portal,district_Mianwali,district_Mianwali,Polygon,EPSG:4326,3,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mirpur Khas,infra_portal,district_Mirpur Khas,district_Mirpur Khas,Polygon,EPSG:4326,7,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mirpur,infra_portal,district_Mirpur,district_Mirpur,Polygon,EPSG:4326,2,country;name;district;province;division;geometry,object;object;object;object;object;geometry
district_Mohmand,infra_portal,district_Mohmand,district_Mohmand,Polygon,EPSG:4326,8,country;name;district;province;division;geometry,object;object;object;object;object;geometry
