shapefile_name,store_name,layer_name,workspace,qualified_name,status,uploaded_at,wfs_url,wms_url,message
Jhang_buildings.shp,Jhang_buildings,Jhang_buildings,infra_portal,infra_portal:Jhang_buildings,uploaded,2026-05-05 08:57:33,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AJhang_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AJhang_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Jhelum_buildings.shp,Jhelum_buildings,Jhelum_buildings,infra_portal,infra_portal:Jhelum_buildings,uploaded,2026-05-05 08:57:33,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AJhelum_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AJhelum_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Kachhi_buildings.shp,Kachhi_buildings,Kachhi_buildings,infra_portal,infra_portal:Kachhi_buildings,uploaded,2026-05-05 08:57:34,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKachhi_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKachhi_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Kalat_buildings.shp,Kalat_buildings,Kalat_buildings,infra_portal,infra_portal:Kalat_buildings,uploaded,2026-05-05 08:57:34,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKalat_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKalat_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Karak_buildings.shp,Karak_buildings,Karak_buildings,infra_portal,infra_portal:Karak_buildings,uploaded,2026-05-11 09:58:25,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKarak_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKarak_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
Kashmore_buildings.shp,Kashmore_buildings,Kashmore_buildings,infra_portal,infra_portal:Kashmore_buildings,uploaded,2026-05-05 08:57:34,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKashmore_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKashmore_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Kasur_buildings.shp,Kasur_buildings,Kasur_buildings,infra_portal,infra_portal:Kasur_buildings,uploaded,2026-05-05 08:57:34,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKasur_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKasur_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Khairpur_buildings.shp,Khairpur_buildings,Khairpur_buildings,infra_portal,infra_portal:Khairpur_buildings,uploaded,2026-05-05 08:57:34,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKhairpur_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKhairpur_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Khanewal_buildings.shp,Khanewal_buildings,Khanewal_buildings,infra_portal,infra_portal:Khanewal_buildings,uploaded,2026-05-05 08:57:34,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKhanewal_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKhanewal_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Already existed in GeoServer. Added to CSV with links.
Kharan_buildings.shp,Kharan_buildings,Kharan_buildings,infra_portal,infra_portal:Kharan_buildings,uploaded,2026-05-05 08:57:35,http://172.18.1.151:8080/geoserver/infra_portal/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=infra_portal%3AKharan_buildings&outputFormat=application%2Fjson&srsName=EPSG%3A4326,http://172.18.1.151:8080/geoserver/infra_portal/wms?service=WMS&version=1.1.0&request=GetMap&layers=infra_portal%3AKharan_buildings&styles=&bbox=-180%2C-90%2C180%2C90&width=1024&height=512&srs=EPSG%3A4326&format=image%2Fpng&transparent=true,Uploaded successfully. HTTP 201
